conv_id,emotion,kor_emotion,context,kor_context,factor
hit:2_conv:4,trusting,신뢰하는,I have always been loyal to my wife.,나는 항상 아내에게 충성했다,아내에게
hit:8_conv:16,prepared,준비된,I had my entire house boarded up when the hurricane came.,허리케인이 왔을 때 나는 집 전체를 판자로 막았다.,허리케인이###집 전체를 판자로 막았다.
hit:13_conv:26,lonely,외로운,"A few years ago, my marriage broke up, and I found myself living alone for the first time in my life. Though I eventually grew accustomed to the solitude, it took a while to get used to it.","몇 년 전 결혼이 깨졌고, 나는 인생에서 처음으로 혼자 사는 것을 발견했다. 결국 외로움에 익숙해졌지만 익숙하게 하는 데는 시간이 좀 걸렸다.",인생에서 처음으로 혼자 사는 것을
hit:16_conv:33,sentimental,감상적인,I get wistful remembering my high school days.,학창시절이 생각나면 그리워집니다.,학창시절이
hit:17_conv:35,angry,화난,I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat itu p,맨날 신경쓰이는 직장동료가 와서 담배냄새 맡으면서 귀찮게 하고 잡담 하려고 하면 짜증이 난다,직장동료가 와서 담배냄새 맡으면서 귀찮게 하고 잡담 하려고 하면
hit:24_conv:48,sentimental,감상적인,Every year on my kids birthday's I think back on when they were born. I remember all the sweet smells and sounds of them as a baby.,매년 아이들의 생일이 되면 나는 그들이 태어났을 때를 회상합니다. 나는 아기의 모든 달콤한 냄새와 소리를 기억합니다.,매년 아이들의 생일이 되면 나는 그들이 태어났을 때를 회상합니다.
hit:26_conv:52,afraid,두려워하는,"Two years ago, i was admitted in hospital. I was not well. I felt afraid whether i would be alive. But fortunately, i am live","2년 전, 나는 병원에 입원했다. 나는 몸이 좋지 않았다. 내가 살아있을까 두려운 마음이 들었다. 하지만 다행히 나는 살아있다.",나는 병원에 입원했다. 나는 몸이 좋지 않았다.
hit:35_conv:70,afraid,두려워하는,I am concerned about the financial situation of my employer.,고용주의 재정 상황이 걱정됩니다.,고용주의 재정 상황이
hit:46_conv:92,afraid,두려워하는,Today is my birthday. I can't wait to see who calls me. Or my gifts.,오늘은 내 생일. 누가 나를 부르는지 보고 싶어 견딜 수가 없어. 또는 내 선물.,오늘은 내 생일.
hit:50_conv:101,angry,화난,I am annoyed by a coworker making joke about me.,나는 동료가 나에 대해 농담하는 것에 짜증이 난다,동료가 나에 대해 농담하는 것에
hit:61_conv:123,embarrassed,당황스러운,"I was mowing the lawn, and a rock flew and broke my neighbor's window.",잔디를 깎고 있는데 돌이 날아와 이웃집 창문을 깨뜨렸습니다.,이웃집 창문을 깨뜨렸습니다.
hit:62_conv:125,sad,슬픈,A few years ago when my grandmother died unexpectedly.,몇 년 전 할머니가 갑자기 돌아가셨을 때.,할머니가 갑자기 돌아가셨을 때.
hit:66_conv:133,sentimental,감상적인,My old high school is being turned into an old people's apartments building. So sad.,내가 다니던 고등학교는 노인 아파트 건물로 바뀌고 있다. 너무 슬퍼.,내가 다니던 고등학교는 노인 아파트 건물로 바뀌고 있다.
hit:67_conv:134,grateful,고마워하는,I was grateful when my mother visited me for my birthday.,어머니가 생일을 맞아 방문해 주셔서 감사했다.,어머니가 생일을 맞아 방문해 주셔서
hit:82_conv:165,sentimental,감상적인,Went for a visit to the place I grew up and it has gone down hill a lot since I was there last. Very sad. A lot of the houses look so run down and dilapidated.,내가 자란 곳을 방문하기 위해 갔고 내가 마지막으로 거기에 있었던 이후로 언덕을 많이 내려갔습니다. 너무 슬퍼. 낡고 허름해 보이는 집들이 많다.,내가 자란 곳을
hit:84_conv:168,surprised,놀란,When I was a child and found out my friends could come over.,내가 어렸을 때 친구들이 올 수 있다는 것을 알았을 때.,친구들이 올 수 있다는 것을 알았을 때.
hit:85_conv:171,caring,돌보는,My neighbor's kid just lost his eyesight. The whole family is devastated.,이웃집 아이가 시력을 잃었습니다. 온 가족이 황폐해졌습니다.,이웃집 아이가 시력을 잃었습니다.
hit:89_conv:178,sad,슬픈,I lost my cat to old age and cried all night about it.,나는 노년에 고양이를 잃고 밤새 울었습니다.,고양이를 잃고
hit:107_conv:215,confident,확신하는,I am confident I will pass the test.,나는 내가 시험을 통과할 것이라고 확신한다.,시험을 통과할 것이라고
hit:111_conv:223,sentimental,감상적인,Went to the beach the other day and remember how much my friend liked going together.,요전날 해변에 갔더니 친구가 함께 가는 것을 얼마나 좋아했는지 기억이 납니다.,친구가 함께 가는 것을
hit:137_conv:275,anticipating,기대하는,"We tried for a baby for a long time, almost 4 years.  Waiting those 9 months to meet her were so hard!",우리는 거의 4 년 동안 아기를 위해 노력했습니다. 그녀를 만나기 위해 그 9개월을 기다리는 것은 너무 힘들었습니다!,아기를
hit:138_conv:277,joyful,즐거운,I passed all of my classes last semester. I had been struggling in college for a while.,나는 지난 학기에 모든 수업을 통과했습니다. 나는 대학에서 한동안 고생을 했다.,모든 수업을 통과했습니다.
hit:139_conv:279,angry,화난,MY ex didn't show up to court again. He is always wasting my time.,내 전 남편은 다시 법정에 나오지 않았다. 그는 항상 내 시간을 낭비하고 있다,내 전 남편은 다시 법정에 나오지 않았다.
hit:145_conv:290,confident,확신하는,We recently went on vacation with some friends to Disney world.  They had never been before and we are annual passholders so we have been several times over the last year.,우리는 최근에 친구들과 디즈니 월드로 휴가를 갔다. 그들은 전에 없었고 우리는 연간 패스 소지자이므로 우리는 작년에 여러 번 왔습니다.,디즈니 월드로 휴가를 갔다.
hit:150_conv:300,impressed,감명받은,My brother recently applied to an Ivy League school. We just found out he was accepted.,제 동생은 최근에 아이비리그 학교에 지원했습니다. 우리는 그가 수락되었다는 것을 방금 알았습니다.,제 동생은
hit:151_conv:302,proud,자랑스러운,"When my brother graduated high school, I was very proud of him, it was a big accomplishment","내 동생이 고등학교를 졸업했을 때, 나는 그를 매우 자랑스러워했고, 그것은 큰 성취였다","내 동생이 고등학교를 졸업했을 때,"
hit:152_conv:304,afraid,두려워하는,"It's been so dry in my area lately , I'm afraid there might be some forest fires. I live near a mountain.",최근에 우리 지역이 너무 건조해서 산불이 날까 걱정됩니다. 나는 산 근처에 산다.,산불이 날까
hit:174_conv:348,confident,확신하는,I felt confident when I won the honor society election in high school. I beat someone way more popular,고등학교 때 명예사회 선거에서 승리했을 때 자신감이 들었다. 나는 누군가를 훨씬 더 인기 있는 사람을 이겼다,명예사회 선거에서 승리했을 때
hit:177_conv:354,impressed,감명받은,"I asked my 7 year old what 12x12 was the other day, and he gave me the correct answer.",요전날 7살 아이에게 12x12가 뭐냐고 물었더니 정답을 알려주더군요.,7살 아이에게###정답을 알려주더군요.
hit:179_conv:358,proud,자랑스러운,I was proud of my brother when he graduated high school,나는 동생이 고등학교를 졸업했을 때 자랑스러웠다,동생이 고등학교를 졸업했을 때
hit:213_conv:427,impressed,감명받은,My boy just get is first job. I feel really proud of him.,내 아들은 첫 직장입니다. 나는 그를 정말 자랑스럽게 생각합니다.,내 아들은 첫 직장입니다.
