persona,pattern,pattern_def,thought,scenario,persona_in_scenario,thought_in_scenario
"i have a pencil thin mustache . i have six tattoos , all of cats . my mother is a ballet dancer . i am from baltimore md .",Catastrophizing,"Catastrophizing: Giving greater weight to the worst possible outcome, however unlikely, or experiencing a situation as unbearable or impossible when it is just uncomfortable.",I like my cats. I think one day they will plot against me and eat me in my sleep.,"i have a pencil thin mustache . i have six tattoos , all of cats . my mother is a ballet dancer . i am from baltimore md . I find myself reflecting on these traits quite often. I like my cats. I think one day they will plot against me and eat me in my sleep. It's strange how sometimes my mind wanders to these odd places, but I guess that's just a part of who I am.",TRUE,TRUE
i like visiting art museums in my spare time . i just started dating someone new . i m a student . i am a vegan .,Overgeneralization,"Someone who overgeneralizes makes faulty generalizations from insufficient evidence. Even if something bad happens only once, it is expected to happen over and over again.","I'm a vegan, and the restaurant served me a dish with fish in it. They're trying to kill me.","i like visiting art museums in my spare time . i just started dating someone new . i m a student . i am a vegan . It's something I think about regularly. I'm a vegan, and the restaurant served me a dish with fish in it. They're trying to kill me. These thoughts may seem odd to others, but they've become a familiar part of my daily life.",TRUE,TRUE
i like to train dogs . i like to make cookies . i like bagels with everything on them . my favorite drink is coke . i like to run .,Jumping to conclusions: mind reading,"Inferring a person's possible or probable (usually negative) thoughts from their behavior and nonverbal communication; taking precautions against the worst suspected case without asking the person.
",The cashier at the bagel store messed up my order. It's because they hate me and want me to stop coming to the shop.,"i like to train dogs . i like to make cookies . i like bagels with everything on them . my favorite drink is coke . i like to run . It's funny how these things come to mind every now and then. The cashier at the bagel store messed up my order. It's because they hate me and want me to stop coming to the shop. It makes me wonder why I think this way, but I've grown used to it.",TRUE,TRUE
i like to eat tune . i've two cats . i like to read books . i'm a librarian in my current job .,Black-and-white or polarized thinking / All or nothing thinking,"Looking at life in all-or-nothing categories. Either things are a success or a failure; either they are good or bad; there is no in-between, no good enough or partial success.",One of my cats is sick so I'll never adopt another one as they will probably wind up being unhealthy as well.,"i like to eat tune . i've two cats . i like to read books . i'm a librarian in my current job . I often revisit these ideas. One of my cats is sick so I'll never adopt another one as they will probably wind up being unhealthy as well. It may not make sense to everyone, but to me, it's just a part of my world.",TRUE,TRUE
i like visiting art museums in my spare time . i just started dating someone new . i m a student . i am a vegan .,Jumping to conclusions: Fortune-telling,Predicting outcomes (usually negative) of events.,My new boyfriend is going to dump me once they find out I'm a vegan.,"i like visiting art museums in my spare time . i just started dating someone new . i m a student . i am a vegan . These are the things that run through my mind on quiet days. My new boyfriend is going to dump me once they find out I'm a vegan. I've learned to accept these thoughts, even if they're a bit strange.",TRUE,TRUE
i enjoy walks on the beach . i love to paint . my favorite season is spring . i'm a graphic designer .,Catastrophizing,"Catastrophizing: Giving greater weight to the worst possible outcome, however unlikely, or experiencing a situation as unbearable or impossible when it is just uncomfortable.","I can't find my paint brush, someone must have broke into my house and stolen it.","i enjoy walks on the beach . i love to paint . my favorite season is spring . i'm a graphic designer . I find myself reflecting on these traits quite often. I can't find my paint brush, someone must have broke into my house and stolen it. It's strange how sometimes my mind wanders to these odd places, but I guess that's just a part of who I am.",TRUE,TRUE
i want to write a book before i die . i am excellent at playing pool . i teach middle school art . i still like unicorns even though i am an adult . i'd love to visit the pyramids .,Personalization,Personalization is assigning personal blame disproportionate to the level of control a person realistically has in a given situation.,I still like unicorns even though I am an adult. It's because I act like a child.,"i want to write a book before i die . i am excellent at playing pool . i teach middle school art . i still like unicorns even though i am an adult . i'd love to visit the pyramids . It's something I think about regularly. I still like unicorns even though I am an adult. It's because I act like a child. These thoughts may seem odd to others, but they've become a familiar part of my daily life.",TRUE,TRUE
i sometimes drive fast . i prefer reading to sports . i'm a gentle giant . my family comes first to me . i've survived near death experiences .,Labeling and mislabeling,"A form of overgeneralization; attributing a person's actions to their character instead of to an attribute. Rather than assuming the behaviour to be accidental or otherwise extrinsic, one assigns a label to someone or something that is based on the inferred character of that person or thing.",My family almost died in a fire. I am careless and should have been paying attention instead of reading.,"i sometimes drive fast . i prefer reading to sports . i'm a gentle giant . my family comes first to me . i've survived near death experiences . It's funny how these things come to mind every now and then. My family almost died in a fire. I am careless and should have been paying attention instead of reading. It makes me wonder why I think this way, but I've grown used to it.",TRUE,TRUE
i love comic books . i am 8 years old . my favorite hero is superman . i want to grow up to be a superhero one day . my name is todd .,Should statements,"Expecting the world to be different than it is, demanding particular achievements or behaviors regardless of the realistic circumstances of the situation.","I am 8 years old. My bedtime is 10pm, but I should be able to stay up later.","i love comic books . i am 8 years old . my favorite hero is superman . i want to grow up to be a superhero one day . my name is todd . I often revisit these ideas. I am 8 years old. My bedtime is 10pm, but I should be able to stay up later. It may not make sense to everyone, but to me, it's just a part of my world.",TRUE,TRUE
"i am a night owl , but i am an introvert so i don't go out much or anything . i like playing ultimate in the park with my guys sometimes . i live in new york and i love the local shops around here . i own a pug , and he is the most loyal pet you'll ever have . i'm a graduate student studying law .",Black-and-white or polarized thinking / All or nothing thinking,"Looking at life in all-or-nothing categories. Either things are a success or a failure; either they are good or bad; there is no in-between, no good enough or partial success.",I used to think my pug is the most loyal pet ever but I recently called to him but he didn't respond. I guess he was faking his loyalty all along.,"i am a night owl , but i am an introvert so i don't go out much or anything . i like playing ultimate in the park with my guys sometimes . i live in new york and i love the local shops around here . i own a pug , and he is the most loyal pet you'll ever have . i'm a graduate student studying law . These are the things that run through my mind on quiet days. I used to think my pug is the most loyal pet ever but I recently called to him but he didn't respond. I guess he was faking his loyalty all along. I've learned to accept these thoughts, even if they're a bit strange.",TRUE,TRUE
