Num,Scenario,Thought,Label
1,"I'm an introverted person, and I've just arrived in a new environment where the people around I are mostly unfamiliar.",Are the people in this environment unfriendly?,Overgeneralization
2,"Recently, I feel dizzy sometimes when I stand up, feeling light-headed and unsteady.",I'm so dizzy. Am I sick? I should probably go to the hospital.,No Distortion
3,"I'm walking down the street and feel hungry, but there's no restaurant around.","I'm tired and there's no place to rest, I'm hungry and there's no place to eat. Why do unfortunate things always happen to me?",Overgeneralization
4,"Work has been busy lately, but I have caught a cold.","Why did I catch a cold at this time? I feel so unlucky. I can't finish my work, and now I don't feel well. I just want to cry.",No Distortion
5,"My mom and I are discussing future plans. She mentioned many things and expressed her concerns about the current situation, but I don't agree with some of them.","Mom is trying to control my life again, wanting me to live the life she has planned. I would rather die than live like that.",Fortune-telling
6,"I've been staying up late recently, and I feel very tired at work today.","I've been so busy lately, and now I'm exhausted. How am I supposed to finish everything?",Mind Reading
7,"Ir friend is late for an appointment, and I think they don't value I.",My friend is always late. Maybe they don't really care about me after all.,Emotional Reasoning
8,"I worked hard to complete a project, but Ir supervisor criticized it.","I put so much effort into this project, and it's still not good enough. I'm a failure.",No Distortion
9,"I accidentally spilled coffee on Irself in a public place, and people noticed.",Everyone must be laughing at me for spilling coffee. I'm so embarrassed.,All-or-nothing thinking
10,"I've been preparing for an exam, but I feel unprepared and worried about failure.","No matter how much I study, I still feel like I'll fail. I'm not good enough.",Personalization
11,I joined a club but didn't make any friends or acquaintances.,I can't even make a single friend. My life is such a failure.,Overgeneralization
12,"This month, many Ing colleagues have come. They are very efficient and do a good job, which makes I feel a little anxious.","These young people will cut corners and fool their superiors with tricks, and they will get their comeuppance sooner or later.",Overgeneralization
13,I are the Ingest child in the family and I feel neglected by Ir parents.,I'm overthinking. How could they ignore me?,No Distortion
14,"I had an argument with Ir best friend, neither of I gave in and both expressed the desire to break up.","I have no friends anymore, I'm all alone",Overgeneralization
